f: 0		N	s	pc	pm	MaxG					pc	0.0625	0.125	0.1875	0.25	0.3125	0.375	0.4375	0.5	0.5625	0.625	0.6875	0.75	0.8125	0.875	0.9375	
Not get 800	26	900	2	0.5	0.92	25	848	93558																			
Not get 800	26	900	2	0.5	0.96	25	775	86913																			
Get 800	11	900	2	0.5625	0.04	25	1114	103844																			
Get 800	15	900	2	0.5625	0.08	25	1078	104558																			
Get 800	12	900	2	0.5625	0.12	25	1221	109810																			
Get 800	18	900	2	0.5625	0.16	25	1007	98938																			
Get 800	23	900	2	0.5625	0.2	25	922	92135																			
Not get 800	26	900	2	0.5625	0.24	25	842	86339																			
Get 800	15	900	2	0.5625	0.28	25	1079	105378																			
Get 800	16	900	2	0.5625	0.32	25	1084	100203																			
Get 800	20	900	2	0.5625	0.36	25	973	95457																			
Get 800	18	900	2	0.5625	0.4	25	1003	97380																			
Get 800	20	900	2	0.5625	0.44	25	876	86408																			
Get 800	21	900	2	0.5625	0.48	25	931	92939																			
Get 800	15	900	2	0.5625	0.52	25	1015	94692																			
Get 800	21	900	2	0.5625	0.56	25	959	93730																			
Get 800	21	900	2	0.5625	0.6	25	904	86018																			
Get 800	18	900	2	0.5625	0.64	25	937	95360																			
Get 800	17	900	2	0.5625	0.68	25	1066	100515																			
Get 800	23	900	2	0.5625	0.72	25	895	90030																			
Not get 800	26	900	2	0.5625	0.76	25	716	81324																			
Not get 800	26	900	2	0.5625	0.8	25	791	88356																			
Not get 800	26	900	2	0.5625	0.84	25	693	79440																			
Not get 800	26	900	2	0.5625	0.88	25	794	86457																			
Get 800	17	900	2	0.5625	0.92	25	952	98353																			
Not get 800	26	900	2	0.5625	0.96	25	839	88903																			
Not get 800	26	900	2	0.625	0.04	25	829	90192																			
Get 800	20	900	2	0.625	0.08	25	941	91244																			
Get 800	19	900	2	0.625	0.12	25	947	98073																			
Get 800	14	900	2	0.625	0.16	25	1088	104778																			
Get 800	17	900	2	0.625	0.2	25	1033	97675																			
Get 800	20	900	2	0.625	0.24	25	978	93334																			
Get 800	22	900	2	0.625	0.28	25	911	91042																			
Get 800	23	900	2	0.625	0.32	25	890	92008																			
Get 800	14	900	2	0.625	0.36	25	1084	95562																			
Not get 800	26	900	2	0.625	0.4	25	800	83099																			
Get 800	15	900	2	0.625	0.44	25	1009	98474																			
Not get 800	26	900	2	0.625	0.48	25	855	84162																			
Not get 800	26	900	2	0.625	0.52	25	832	85486																			
Get 800	16	900	2	0.625	0.56	25	953	98897																			
Not get 800	26	900	2	0.625	0.6	25	824	85003																			
Get 800	20	900	2	0.625	0.64	25	955	94828																			
Not get 800	26	900	2	0.625	0.68	25	815	90918																			
Get 800	20	900	2	0.625	0.72	25	948	97527																			
Get 800	20	900	2	0.625	0.76	25	980	87651																			
Not get 800	26	900	2	0.625	0.8	25	814	82154																			
Get 800	21	900	2	0.625	0.84	25	906	85784																			
Get 800	18	900	2	0.625	0.88	25	1023	94187																			
Not get 800	26	900	2	0.625	0.92	25	840	93785																			
Not get 800	26	900	2	0.625	0.96	25	766	85256																			
Not get 800	26	900	2	0.6875	0.04	25	849	88257																			
Get 800	18	900	2	0.6875	0.08	25	989	95792																			
Get 800	18	900	2	0.6875	0.12	25	935	94717																			
Get 800	17	900	2	0.6875	0.16	25	1009	97109																			
Get 800	18	900	2	0.6875	0.2	25	1012	98543																			
Not get 800	26	900	2	0.6875	0.24	25	822	88721																			
Get 800	21	900	2	0.6875	0.28	25	909	92854																			
Get 800	15	900	2	0.6875	0.32	25	995	99839																			
Not get 800	26	900	2	0.6875	0.36	25	844	85859																			
Get 800	16	900	2	0.6875	0.4	25	1051	100217																			
Get 800	18	900	2	0.6875	0.44	25	1018	98943																			
Get 800	14	900	2	0.6875	0.48	25	1041	102429																			
Get 800	17	900	2	0.6875	0.52	25	947	97288																			
Get 800	20	900	2	0.6875	0.56	25	962	90841																			
Get 800	17	900	2	0.6875	0.6	25	976	98212																			
Not get 800	26	900	2	0.6875	0.64	25	821	84177																			
Get 800	23	900	2	0.6875	0.68	25	890	89230																			
Get 800	15	900	2	0.6875	0.72	25	1013	86889																			
Not get 800	26	900	2	0.6875	0.76	25	781	84876																			
Get 800	16	900	2	0.6875	0.8	25	963	98226																			
Get 800	22	900	2	0.6875	0.84	25	941	92041																			
Not get 800	26	900	2	0.6875	0.88	25	791	89121																			
Not get 800	26	900	2	0.6875	0.92	25	757	89229																			
Not get 800	26	900	2	0.6875	0.96	25	820	86422																			
Get 800	13	900	2	0.75	0.04	25	1118	106272																			
Get 800	20	900	2	0.75	0.08	25	914	88830																			
Get 800	13	900	2	0.75	0.12	25	1077	98546																			
Get 800	21	900	2	0.75	0.16	25	915	89633																			
Get 800	17	900	2	0.75	0.2	25	965	91694																			
Get 800	16	900	2	0.75	0.24	25	1018	98899																			
Get 800	24	900	2	0.75	0.28	25	883	87543																			
Get 800	20	900	2	0.75	0.32	25	973	90187																			
Get 800	14	900	2	0.75	0.36	25	1085	99396																			
Get 800	21	900	2	0.75	0.4	25	994	94999																			
Get 800	20	900	2	0.75	0.44	25	953	105122																			
Get 800	17	900	2	0.75	0.48	25	1084	105978																			
Get 800	14	900	2	0.75	0.52	25	1102	101500																			
Get 800	22	900	2	0.75	0.56	25	937	93327																			
Get 800	23	900	2	0.75	0.6	25	892	91558																			
Get 800	23	900	2	0.75	0.64	25	877	82849																			
Get 800	23	900	2	0.75	0.68	25	877	86102																			
Get 800	21	900	2	0.75	0.72	25	959	96313																			
Get 800	22	900	2	0.75	0.76	25	884	93519																			
Get 800	23	900	2	0.75	0.8	25	896	89610																			
Get 800	23	900	2	0.75	0.84	25	840	89784																			
Not get 800	26	900	2	0.75	0.88	25	821	92591																			
Not get 800	26	900	2	0.75	0.92	25	732	87834																			
Not get 800	26	900	2	0.75	0.96	25	748	86349																			
Get 800	22	900	2	0.8125	0.04	25	894	87823																			
Not get 800	26	900	2	0.8125	0.08	25	788	84291																			
Get 800	23	900	2	0.8125	0.12	25	886	90713																			
Get 800	18	900	2	0.8125	0.16	25	988	92780																			
Not get 800	26	900	2	0.8125	0.2	25	846	88588																			
Get 800	25	900	2	0.8125	0.24	25	889	90871																			
Get 800	25	900	2	0.8125	0.28	25	894	92345																			
Get 800	21	900	2	0.8125	0.32	25	944	89520																			
Get 800	17	900	2	0.8125	0.36	25	1037	99661																			
Get 800	18	900	2	0.8125	0.4	25	925	92128																			
Not get 800	26	900	2	0.8125	0.44	25	809	84649																			
Not get 800	26	900	2	0.8125	0.48	25	844	86008																			
Get 800	22	900	2	0.8125	0.52	25	975	92637																			
Get 800	21	900	2	0.8125	0.56	25	1023	94091																			
Get 800	20	900	2	0.8125	0.6	25	1001	98308																			
Get 800	19	900	2	0.8125	0.64	25	969	92049																			
Get 800	17	900	2	0.8125	0.68	25	955	92677																			
Not get 800	26	900	2	0.8125	0.72	25	856	90082																			
Get 800	24	900	2	0.8125	0.76	25	862	94633																			
Not get 800	26	900	2	0.8125	0.8	25	855	88997																			
Get 800	22	900	2	0.8125	0.84	25	957	87865																			
Get 800	22	900	2	0.8125	0.88	25	933	90345																			
Not get 800	26	900	2	0.8125	0.92	25	700	82536																			
Not get 800	26	900	2	0.8125	0.96	25	799	94041																			
Get 800	19	900	2	0.875	0.04	25	991	98930																			
Not get 800	26	900	2	0.875	0.08	25	821	89146																			
Get 800	15	900	2	0.875	0.12	25	1060	99629																			
Get 800	15	900	2	0.875	0.16	25	1018	98798																			
Get 800	16	900	2	0.875	0.2	25	1062	98515																			
Get 800	23	900	2	0.875	0.24	25	892	92663																			
Get 800	21	900	2	0.875	0.28	25	893	90380																			
Get 800	13	900	2	0.875	0.32	25	1065	102884																			
Not get 800	26	900	2	0.875	0.36	25	848	87457																			
Get 800	21	900	2	0.875	0.4	25	947	86266																			
Get 800	20	900	2	0.875	0.44	25	972	87293																			
Not get 800	26	900	2	0.875	0.48	25	815	85276																			
Get 800	16	900	2	0.875	0.52	25	1115	100979																			
Get 800	17	900	2	0.875	0.56	25	1135	97894																			
Get 800	20	900	2	0.875	0.6	25	950	96543																			
Not get 800	26	900	2	0.875	0.64	25	870	85526																			
Get 800	22	900	2	0.875	0.68	25	894	95297																			
Get 800	19	900	2	0.875	0.72	25	939	94855																			
Not get 800	26	900	2	0.875	0.76	25	849	84090																			
Get 800	20	900	2	0.875	0.8	25	962	99337																			
Get 800	19	900	2	0.875	0.84	25	951	89988																			
Not get 800	26	900	2	0.875	0.88	25	793	87222																			
Not get 800	26	900	2	0.875	0.92	25	811	84023																			
Not get 800	26	900	2	0.875	0.96	25	793	88409																			
Get 800	18	900	2	0.9375	0.04	25	931	94055																			
Get 800	17	900	2	0.9375	0.08	25	980	99711																			
Not get 800	26	900	2	0.9375	0.12	25	823	86800																			
Get 800	13	900	2	0.9375	0.16	25	1089	103666																			
Not get 800	26	900	2	0.9375	0.2	25	848	90968																			
Get 800	22	900	2	0.9375	0.24	25	892	91641																			
Get 800	18	900	2	0.9375	0.28	25	997	94591																			
Get 800	15	900	2	0.9375	0.32	25	995	97450																			
Get 800	18	900	2	0.9375	0.36	25	997	98348																			
Get 800	17	900	2	0.9375	0.4	25	1058	96553																			
Get 800	21	900	2	0.9375	0.44	25	883	86504																			
Get 800	16	900	2	0.9375	0.48	25	1054	101279																			
Get 800	19	900	2	0.9375	0.52	25	943	96318																			
Get 800	14	900	2	0.9375	0.56	25	1064	102900																			
Get 800	20	900	2	0.9375	0.6	25	907	87009																			
Get 800	20	900	2	0.9375	0.64	25	974	93210																			
Get 800	25	900	2	0.9375	0.68	25	899	87975																			
Get 800	15	900	2	0.9375	0.72	25	962	99856																			
Get 800	20	900	2	0.9375	0.76	25	964	98297																			
Get 800	23	900	2	0.9375	0.8	25	976	90575																			
Get 800	23	900	2	0.9375	0.84	25	869	89320																			
Not get 800	26	900	2	0.9375	0.88	25	811	95374																			
Get 800	21	900	2	0.9375	0.92	25	949	93032																			
Get 800	25	900	2	0.9375	0.96	25	912	93207																			
f: 1		N	s	pc	pm	maxG						pc	0.0625	0.125	0.1875	0.25	0.3125	0.375	0.4375	0.5	0.5625	0.625	0.6875	0.75	0.8125	0.875	0.9375
Not get 800	26	900	2	0.0625	0.04	25	737	33555				pm															
Not get 800	26	900	2	0.0625	0.08	25	816	34074				0.04	737	794	754	839	843	831	896	824	819	874	840	841	851	874	756
